epoch,time,train/box,train/seg,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box,val/seg,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
81,3790.22,1.07422,2.07585,1.56693,1.19081,0.43126,0.18417,0.15856,0.12168,0.42146,0.18204,0.15459,0.1094,1.01798,2.01002,3.42053,1.12982,8.416e-05,8.416e-05,8.416e-05
82,7494.58,1.07786,2.0812,1.5668,1.19144,0.43848,0.18318,0.15887,0.12201,0.43945,0.17877,0.15487,0.10965,1.0171,2.00841,3.41446,1.12942,8.3962e-05,8.3962e-05,8.3962e-05
83,11124.8,1.07343,2.07461,1.55971,1.18772,0.41406,0.1912,0.1595,0.12261,0.415,0.18689,0.15556,0.11047,1.01575,2.00641,3.42409,1.12864,8.3764e-05,8.3764e-05,8.3764e-05
84,14748.8,1.07061,2.06593,1.55455,1.18522,0.41893,0.19132,0.16009,0.12292,0.42207,0.18546,0.1562,0.11063,1.01486,2.00286,3.42921,1.12796,8.3566e-05,8.3566e-05,8.3566e-05
85,18389.4,1.06708,2.05856,1.54487,1.18406,0.42576,0.18787,0.16054,0.12337,0.41346,0.19057,0.15691,0.11088,1.01337,2.00005,3.42088,1.12702,8.3368e-05,8.3368e-05,8.3368e-05
86,3587.59,1.06882,2.06185,1.55124,1.18653,0.41936,0.19113,0.16024,0.12345,0.4182,0.18903,0.15714,0.11088,1.01242,2.00009,3.4134,1.12675,8.317e-05,8.317e-05,8.317e-05
87,7201.25,1.07038,2.06531,1.55037,1.1857,0.42958,0.18844,0.16151,0.12404,0.42804,0.18608,0.1578,0.11144,1.0116,1.99799,3.4101,1.1263,8.2972e-05,8.2972e-05,8.2972e-05
88,10804.8,1.06636,2.05527,1.54449,1.18478,0.41744,0.19529,0.16217,0.12444,0.42272,0.18836,0.15825,0.11201,1.01067,1.99572,3.40922,1.1258,8.2774e-05,8.2774e-05,8.2774e-05
89,14401.6,1.06411,2.05194,1.53767,1.18107,0.42484,0.19399,0.163,0.12524,0.42312,0.19097,0.15887,0.11274,1.00943,1.99253,3.40288,1.12494,8.2576e-05,8.2576e-05,8.2576e-05
90,17995.8,1.06187,2.04868,1.53097,1.17954,0.42593,0.19302,0.16319,0.12572,0.42445,0.19104,0.15951,0.11296,1.00839,1.9905,3.40151,1.124,8.2378e-05,8.2378e-05,8.2378e-05
91,21580.7,1.05903,2.0402,1.52384,1.17742,0.39359,0.2072,0.16398,0.1262,0.43304,0.1862,0.16007,0.11332,1.00706,1.98707,3.38446,1.12276,8.218e-05,8.218e-05,8.218e-05
92,3770.65,1.05982,2.04266,1.53156,1.18033,0.39765,0.20469,0.16438,0.12639,0.40001,0.20019,0.16026,0.11347,1.00678,1.98661,3.38788,1.12288,8.1982e-05,8.1982e-05,8.1982e-05
93,3809.26,1.05822,2.03998,1.52783,1.18013,0.4022,0.20514,0.16406,0.12634,0.40315,0.2023,0.16047,0.11341,1.00569,1.98463,3.38289,1.12221,8.1784e-05,8.1784e-05,8.1784e-05
94,7591.09,1.06039,2.04428,1.52857,1.17972,0.4253,0.19556,0.16481,0.12683,0.427,0.19055,0.16062,0.11378,1.00512,1.98315,3.37436,1.12179,8.1586e-05,8.1586e-05,8.1586e-05
95,11375,1.05593,2.03238,1.52142,1.17773,0.39836,0.20951,0.16533,0.1275,0.40109,0.20369,0.16184,0.11483,1.00424,1.98183,3.37093,1.12117,8.1388e-05,8.1388e-05,8.1388e-05
96,15155.8,1.05355,2.02982,1.51337,1.17408,0.41963,0.20201,0.16608,0.12848,0.41945,0.19856,0.16319,0.11526,1.00346,1.9793,3.3791,1.12044,8.119e-05,8.119e-05,8.119e-05
97,18939.3,1.05263,2.02886,1.50928,1.17297,0.40269,0.20655,0.16654,0.12846,0.4123,0.19893,0.16341,0.11518,1.00187,1.9761,3.37751,1.11916,8.0992e-05,8.0992e-05,8.0992e-05
98,3616.92,1.05336,2.02814,1.51413,1.17596,0.41211,0.20213,0.16732,0.12897,0.41669,0.19779,0.16414,0.11564,1.00129,1.97556,3.36913,1.11895,8.0794e-05,8.0794e-05,8.0794e-05
99,7202.57,1.05422,2.03045,1.5142,1.17468,0.42099,0.1997,0.16758,0.12926,0.42122,0.19709,0.16466,0.116,1.00043,1.97378,3.36527,1.11864,8.0596e-05,8.0596e-05,8.0596e-05
100,10795.7,1.05163,2.02837,1.51066,1.17333,0.39385,0.2126,0.16746,0.12922,0.40884,0.19855,0.16433,0.1158,0.99959,1.97268,3.36379,1.11805,8.0398e-05,8.0398e-05,8.0398e-05
101,14417.7,1.05159,2.02494,1.50607,1.17216,0.38852,0.21106,0.16811,0.12969,0.40638,0.20008,0.16492,0.11608,0.99938,1.9697,3.36312,1.11806,8.02e-05,8.02e-05,8.02e-05
102,18062.5,1.04643,2.01413,1.49865,1.16953,0.40083,0.20679,0.16913,0.13037,0.40335,0.20137,0.16558,0.11676,0.99872,1.967,3.36627,1.11757,8.0002e-05,8.0002e-05,8.0002e-05
103,21653,1.04472,2.00913,1.48996,1.16789,0.3949,0.20767,0.16968,0.13082,0.39186,0.20515,0.16607,0.11713,0.99799,1.96361,3.35973,1.11677,7.9804e-05,7.9804e-05,7.9804e-05
